ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision,ID_Registro,Temperatura_C,Vibracion_mm_s,Horas_Operativas,Tiempo_Hasta_Fallo,Impacto_Temp_Vibracion
929,1,2020-02-08 16:00:00,Correctivo,3143.58,8,Planta Este,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,,442.07714999999996
1071,1,2020-02-14 14:00:00,Correctivo,2662.1,38,Planta Este,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,142.0,442.07714999999996
1519,1,2020-03-04 06:00:00,Correctivo,6329.16,3,Planta Sur,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,448.0,442.07714999999996
2093,1,2020-03-28 04:00:00,Preventivo,2645.45,28,Planta Este,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,574.0,442.07714999999996
2487,1,2020-04-13 14:00:00,Correctivo,6140.86,7,Planta Sur,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,394.0,442.07714999999996
2862,1,2020-04-29 05:00:00,Correctivo,7747.01,2,Planta Este,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,375.0,442.07714999999996
2932,1,2020-05-02 03:00:00,Preventivo,8786.68,46,Planta Oeste,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,70.0,442.07714999999996
2967,1,2020-05-03 14:00:00,Preventivo,8207.47,41,Planta Sur,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,35.0,442.07714999999996
3754,1,2020-06-05 09:00:00,Correctivo,7034.67,6,Planta Oeste,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,787.0,442.07714999999996
4006,1,2020-06-15 21:00:00,Preventivo,3727.3,20,Planta Este,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,252.0,442.07714999999996
4046,1,2020-06-17 13:00:00,Correctivo,4598.7,29,Planta Sur,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,40.0,442.07714999999996
4196,1,2020-06-23 19:00:00,Correctivo,7221.28,14,Planta Este,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,150.0,442.07714999999996
5582,1,2020-08-20 13:00:00,Preventivo,4256.1,6,Planta Norte,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,1386.0,442.07714999999996
5916,1,2020-09-03 11:00:00,Correctivo,7404.53,35,Planta Oeste,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,334.0,442.07714999999996
6708,1,2020-10-06 11:00:00,Preventivo,2567.15,26,Planta Este,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,792.0,442.07714999999996
7602,1,2020-11-12 17:00:00,Preventivo,2125.57,41,Planta Oeste,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,894.0,442.07714999999996
8419,1,2020-12-16 18:00:00,Preventivo,4965.23,31,Planta Este,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,817.0,442.07714999999996
