ID_Equipo,Costo_Mantenimiento,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision,Total_Horas_Operativas,Horas_Operativas_Anomala,Costo_Mantenimiento_Anomalo
1,97337.95,Motor,Schneider,X100,1009,9656,769445.0,False,False
2,47254.0,Motor,ABB,Z300,1220,2165,838924.0,False,False
3,59341.64,Motor,GE,Y200,3733,6674,758108.0,False,False
4,119177.56999999999,Transformador,Siemens,X100,662,1480,1134307.0,False,False
5,82240.49,Compresor,ABB,Y200,982,4282,1565791.3276785715,True,False
6,128313.03,Compresor,GE,Z300,4426,8747,1068501.0,False,False
7,55184.82,Transformador,ABB,Y200,1830,1238,593782.0,False,False
8,144802.02,Transformador,GE,Y200,532,3846,1083615.0,False,False
9,88951.44,Compresor,ABB,X100,3484,9688,544704.0,False,False
10,81878.5,Compresor,Schneider,M400,3227,5305,1106547.0,False,False
11,90039.37,Generador,ABB,M400,53,9335,974656.0,False,False
12,128519.0,Transformador,GE,Y200,4159,5997,1115454.0,False,False
13,95897.5,Compresor,GE,Z300,1889,4965,1171904.0,False,False
14,123603.29000000001,Compresor,ABB,Z300,2106,5941,1176431.0,False,False
15,114586.89,Generador,Schneider,X100,3181,4543,861214.0,False,False
16,90400.73999999999,Transformador,ABB,Y200,2014,690,880194.3276785715,False,False
17,124549.53,Motor,Schneider,M400,1003,9824,654967.0,False,False
18,95048.71,Transformador,Siemens,M400,2815,3312,935312.0,False,False
19,109728.12,Motor,Siemens,M400,4785,6623,978977.0,False,False
20,108297.15,Motor,Siemens,M400,4510,6072,919847.0,False,False
21,126976.25,Transformador,Schneider,Y200,278,1736,1021156.0,False,False
22,113202.9,Compresor,ABB,Y200,1497,5953,817452.0,False,False
23,115849.98,Generador,Siemens,Y200,2268,4449,794878.0,False,False
24,83513.77,Motor,ABB,Y200,2521,802,685253.0,False,False
25,85908.56,Generador,ABB,X100,4859,3373,965496.3276785715,False,False
26,94491.32,Transformador,ABB,Y200,4420,1607,949092.0,False,False
27,64399.450000000004,Compresor,GE,Z300,2431,4411,1273683.0,False,False
28,57829.87,Transformador,ABB,X100,3635,5382,938946.0,False,False
29,76584.01,Compresor,Schneider,X100,2934,3256,1129520.0,False,False
30,98611.02,Generador,ABB,X100,2013,9009,709715.0,False,False
31,65481.619999999995,Compresor,ABB,Y200,1514,7272,1025452.0,False,False
32,140429.76,Generador,GE,Y200,876,9450,1387305.0,False,False
33,113412.6,Motor,Schneider,Y200,2489,5353,731112.0,False,False
34,89170.19,Transformador,Siemens,X100,1673,4775,482179.0,False,False
35,74419.73,Generador,Schneider,Z300,1771,969,575639.0,False,False
36,108115.285,Generador,GE,X100,3558,6471,818169.0,False,False
37,125808.845,Compresor,GE,M400,1638,4138,626586.0,False,False
38,132519.89,Compresor,Siemens,X100,2583,4618,500461.0,False,False
39,153548.01,Generador,GE,X100,1617,7512,1016656.0,False,False
40,116092.72,Transformador,Schneider,Y200,791,5183,901666.0,False,False
41,68960.5,Motor,Schneider,Z300,4491,1010,945322.0,False,False
42,77440.81,Generador,ABB,X100,1231,5344,789004.0,False,False
43,77762.54000000001,Transformador,Schneider,M400,4591,8544,1012933.0,False,False
44,77393.92,Transformador,ABB,X100,2999,1537,1237708.0,False,False
45,101986.14,Motor,GE,Y200,2269,2657,888275.0,False,False
46,101153.02,Motor,GE,Y200,4185,9788,1551097.0,False,False
47,83980.14,Generador,ABB,X100,4444,3612,948981.0,False,False
48,83182.88,Motor,GE,Z300,3431,9211,1158661.0,False,False
49,83701.52,Compresor,ABB,Z300,2840,6155,1088768.3276785715,False,False
50,76136.04,Motor,Schneider,X100,1677,4927,1204411.0,False,False
51,130872.39,Compresor,GE,Y200,1805,6528,1324419.0,False,False
52,135673.62,Generador,ABB,Z300,3089,5145,1033858.0,False,False
53,118473.1,Transformador,ABB,Z300,2619,4596,779892.0,False,False
54,71192.34,Motor,ABB,M400,4032,7184,1091214.0,False,False
55,117561.62,Generador,GE,M400,1878,2353,816569.0,False,False
56,97871.95,Transformador,Schneider,X100,3401,1797,1317563.0,False,False
57,100100.79,Compresor,Schneider,X100,934,5098,916947.0,False,False
58,46677.955,Motor,Schneider,M400,1240,9555,844822.0,False,False
59,164986.19,Generador,Schneider,M400,2510,2244,926698.0,False,False
60,133440.395,Generador,Siemens,M400,396,5644,757451.0,False,False
61,86405.23999999999,Transformador,Schneider,Y200,4218,3319,887013.0,False,False
62,86242.115,Compresor,GE,Z300,2784,8577,608689.0,False,False
63,111084.54,Generador,ABB,Y200,919,7149,1331781.3276785715,False,False
64,127824.16,Generador,ABB,Z300,2938,6453,700215.0,False,False
65,90458.66,Generador,Schneider,X100,4607,8967,794353.0,False,False
66,88749.02,Compresor,Siemens,Y200,2125,8734,731980.0,False,False
67,53164.4,Generador,GE,M400,2541,6529,776407.0,False,False
68,72656.22,Compresor,Schneider,Y200,4886,9388,743331.3276785715,False,False
69,68090.815,Transformador,Schneider,Z300,4654,711,1037684.0,False,False
70,77761.74,Motor,GE,Y200,2488,2460,970292.0,False,False
71,85697.7,Compresor,ABB,X100,2180,3150,940669.0,False,False
72,88184.53,Generador,Siemens,Z300,2796,2848,1051198.0,False,False
73,102035.19,Transformador,Schneider,M400,3008,2505,1231848.0,False,False
74,112360.6,Transformador,Schneider,M400,3488,2014,1435947.0,False,False
75,81122.99,Motor,ABB,Z300,2407,6894,730614.0,False,False
76,134409.22,Compresor,Schneider,M400,1086,8670,951334.0,False,False
77,104675.99,Motor,Siemens,Y200,1738,2412,1111021.0,False,False
78,93218.55,Motor,Siemens,M400,3316,9416,609915.0,False,False
79,112911.58,Motor,Siemens,Z300,4187,2662,1448532.0,False,False
80,115059.15000000001,Generador,Siemens,X100,1489,9477,665141.0,False,False
81,116329.19,Motor,Siemens,M400,393,5537,1730432.0,True,False
82,109135.93000000001,Motor,ABB,Z300,2489,8473,697802.0,False,False
83,103089.49,Transformador,Schneider,X100,645,8864,1006074.0,False,False
84,82451.26999999999,Compresor,Schneider,M400,4319,6820,1030642.0,False,False
85,100977.93,Compresor,ABB,X100,4945,7392,543184.0,False,False
86,88672.31999999999,Generador,ABB,Z300,4375,1783,948077.0,False,False
87,93589.31999999999,Generador,GE,M400,2666,2635,669335.0,False,False
88,91808.5,Generador,Siemens,Z300,1294,3265,1125648.0,False,False
89,108551.03,Generador,GE,M400,401,7324,616911.0,False,False
90,70944.15,Compresor,ABB,Y200,1680,3335,861847.0,False,False
91,104714.69,Compresor,ABB,Z300,2180,8700,774912.0,False,False
92,120647.89,Transformador,ABB,M400,1121,5303,924499.0,False,False
93,105520.05,Compresor,GE,Y200,210,5972,857725.0,False,False
94,103745.98999999999,Generador,Siemens,Z300,4548,549,1256562.0,False,False
95,92313.54,Compresor,GE,M400,3634,4731,639623.0,False,False
96,84628.47,Transformador,GE,M400,1601,9334,889981.0,False,False
97,87962.295,Generador,GE,X100,1873,9916,1019112.0,False,False
98,68205.9,Generador,Schneider,M400,4948,4097,927048.0,False,False
99,135547.63999999998,Motor,Schneider,Y200,3212,3974,915133.0,False,False
100,115016.53,Motor,Siemens,M400,3649,6972,1055903.0,False,False
101,130656.29,Generador,Siemens,X100,2604,2906,782567.0,False,False
102,105977.705,Motor,GE,X100,3783,8392,1360608.3276785715,False,False
103,78131.92,Generador,GE,Y200,4203,5166,1206350.0,False,False
104,140346.36,Motor,Siemens,Y200,2898,8569,844860.0,False,False
105,110807.55,Compresor,ABB,M400,1282,5776,1269920.0,False,False
106,91669.45,Generador,ABB,M400,981,3998,974050.3276785715,False,False
107,160542.87,Motor,ABB,Z300,3029,4500,850569.0,False,False
108,116378.59,Motor,GE,Y200,2742,6393,812798.0,False,False
109,88335.25,Generador,GE,Y200,2101,1710,1195897.0,False,False
110,112846.03,Motor,Schneider,Z300,3029,899,781029.0,False,False
111,116075.53,Motor,GE,Z300,2705,4471,1100334.0,False,False
112,70241.06,Motor,Schneider,M400,137,3101,1038018.0,False,False
113,113250.045,Compresor,Schneider,M400,2081,8101,924410.0,False,False
114,113676.85,Transformador,Siemens,Y200,961,6574,390179.0,True,False
115,91638.67,Motor,Schneider,Y200,416,1351,1016027.0,False,False
116,77640.38,Compresor,Schneider,Z300,3507,2386,959751.0,False,False
117,74644.25,Compresor,Siemens,M400,1008,1177,959561.0,False,False
118,116227.23999999999,Motor,Siemens,M400,1536,7706,975119.0,False,False
119,133576.63,Motor,GE,X100,4726,6857,1235473.0,False,False
120,88830.17,Compresor,ABB,X100,3344,1489,962508.0,False,False
121,72596.985,Generador,Schneider,X100,291,5074,919618.0,False,False
122,95883.5,Compresor,ABB,X100,250,681,1162367.0,False,False
123,140173.67,Transformador,GE,Z300,2093,6594,593404.0,False,False
124,45538.64,Compresor,Siemens,Z300,4602,2173,763120.0,False,True
125,93681.59999999999,Transformador,Siemens,Z300,1867,655,864644.0,False,False
126,55417.31,Motor,ABB,Z300,1652,8243,709036.0,False,False
127,104211.58,Compresor,Siemens,Z300,3941,5058,1103159.0,False,False
128,115444.535,Motor,Siemens,Z300,4877,7484,605203.0,False,False
129,104343.85,Transformador,GE,X100,2770,5077,1191765.0,False,False
130,162201.68,Generador,Schneider,Z300,4346,1534,769110.3276785715,False,False
131,112129.04,Motor,Schneider,Z300,558,1834,1095403.0,False,False
132,107884.98,Transformador,ABB,Y200,4039,4529,593825.0,False,False
133,103506.29000000001,Transformador,Schneider,Z300,3846,4050,1010378.0,False,False
134,109025.65,Transformador,Siemens,Z300,3534,9246,626635.3276785715,False,False
135,140119.57,Motor,ABB,Y200,2188,9084,992028.0,False,False
136,79682.84,Generador,GE,Y200,887,4743,843282.0,False,False
137,92152.05,Transformador,GE,M400,3184,5132,955014.0,False,False
138,91660.48999999999,Compresor,Siemens,M400,2801,3972,522079.0,False,False
139,133650.06,Generador,GE,X100,2691,6087,1017055.0,False,False
140,70324.125,Compresor,ABB,X100,4899,5514,1073394.0,False,False
141,187601.77,Compresor,ABB,Y200,1879,2270,685983.0,False,True
142,82786.09,Compresor,Schneider,Z300,2012,8143,509989.0,False,False
143,134849.36000000002,Compresor,Siemens,X100,4911,4646,869078.0,False,False
144,68501.16,Transformador,Siemens,Y200,1046,2910,834714.0,False,False
145,107577.04,Transformador,Siemens,Y200,2275,4924,890666.0,False,False
146,116684.04,Transformador,GE,Y200,1077,2975,919259.0,False,False
147,101282.16,Compresor,Schneider,Y200,3002,4190,1094982.0,False,False
148,95213.56,Motor,GE,Y200,3477,5412,1190050.0,False,False
149,102211.86,Compresor,Siemens,Z300,4536,2143,1106501.0,False,False
150,79252.06,Generador,GE,X100,225,2866,634153.0,False,False
151,79620.87,Motor,Siemens,X100,1765,6823,1282418.0,False,False
152,106174.54,Transformador,GE,M400,491,2138,776450.0,False,False
153,149317.57,Generador,ABB,Y200,1913,5048,732309.0,False,False
154,90815.14,Generador,Schneider,Z300,3565,4049,1514065.0,False,False
155,65235.649999999994,Generador,GE,Z300,4598,1585,1600116.0,True,False
156,92526.61,Transformador,Siemens,X100,2809,5701,414114.0,False,False
157,123935.455,Transformador,ABB,Y200,2275,8496,644193.0,False,False
158,95659.125,Motor,Schneider,Y200,4080,3492,984038.0,False,False
159,107374.96,Compresor,Siemens,X100,3541,9268,1483994.0,False,False
160,111837.085,Transformador,Siemens,M400,173,1443,879269.0,False,False
161,110277.9,Motor,GE,Z300,2009,1315,895761.0,False,False
162,94008.45999999999,Motor,Siemens,Y200,4450,5036,674214.0,False,False
163,116830.72,Generador,Schneider,X100,2096,5938,651845.0,False,False
164,149252.08000000002,Motor,Schneider,M400,4560,4360,952315.3276785715,False,False
165,55903.3,Generador,Siemens,M400,3546,6862,1010321.3276785715,False,False
166,76454.825,Generador,Siemens,Y200,1521,7133,1091926.0,False,False
167,98349.34,Motor,Siemens,M400,1881,661,835463.0,False,False
168,56663.17,Motor,Siemens,Y200,384,4436,812653.0,False,False
169,114516.42,Transformador,Schneider,Y200,2245,6874,812405.0,False,False
170,83455.91,Generador,ABB,Y200,1280,4609,1092198.0,False,False
171,86356.83,Transformador,GE,X100,1827,9836,912992.0,False,False
172,165278.54,Generador,Schneider,Z300,4194,6494,1147307.0,False,True
173,74576.6,Transformador,Siemens,Z300,3806,3507,1190082.0,False,False
174,102672.72,Motor,Schneider,X100,2490,6926,834320.0,False,False
175,101681.0,Generador,Schneider,Z300,817,9078,724517.0,False,False
176,41280.32,Generador,ABB,X100,3681,663,1395191.0,False,True
177,106261.93000000001,Generador,Schneider,X100,1434,1117,896733.0,False,False
178,74717.64,Generador,GE,Z300,3162,8760,567480.0,False,False
179,125770.52,Motor,ABB,Z300,1816,5751,1092406.0,False,False
180,99891.615,Transformador,Schneider,X100,2039,8730,824065.0,False,False
181,96551.69,Transformador,Schneider,X100,2960,6992,987297.0,False,False
182,108938.0,Motor,Siemens,Z300,451,8441,999237.0,False,False
183,69677.88,Transformador,Siemens,X100,2569,8879,822241.0,False,False
184,106455.87,Transformador,Schneider,Z300,1805,572,888567.0,False,False
185,83598.63,Transformador,ABB,X100,2704,3460,409845.0,True,False
186,99620.68,Compresor,Siemens,Y200,1559,5988,750504.0,False,False
187,101766.36,Compresor,ABB,Z300,4546,6143,926895.0,False,False
188,71050.45999999999,Generador,ABB,Z300,864,4139,1091865.0,False,False
189,60341.64,Compresor,ABB,Y200,3542,1534,683418.0,False,False
190,99691.41,Motor,ABB,Z300,1350,8604,937352.0,False,False
191,88677.305,Transformador,Siemens,Y200,1640,2102,1535673.0,False,False
192,58387.17,Compresor,Schneider,X100,2204,4232,747102.0,False,False
193,136088.96,Transformador,Siemens,Z300,1858,2833,718528.0,False,False
194,82423.56,Motor,Schneider,Y200,1193,6891,737138.0,False,False
195,131157.96,Compresor,Siemens,M400,828,7088,731868.0,False,False
196,112525.55500000001,Transformador,Schneider,Z300,3316,2067,1294542.0,False,False
197,101042.91,Transformador,ABB,X100,4310,2716,1314117.0,False,False
198,72904.8,Generador,ABB,X100,1285,3627,527700.0,False,False
199,90770.3,Motor,Siemens,M400,758,1020,937433.0,False,False
200,69077.03,Generador,Siemens,M400,2648,4225,752489.0,False,False
201,111419.56,Generador,Siemens,Z300,2218,8978,673909.0,False,False
202,92513.36,Motor,GE,Y200,3865,6736,1638705.0,True,False
203,83235.69,Generador,Schneider,X100,286,8101,1170756.3276785715,False,False
204,82969.495,Compresor,Siemens,M400,562,1648,710660.0,False,False
205,50349.66,Compresor,ABB,Y200,427,3867,563182.0,False,False
206,88381.13,Compresor,ABB,Y200,3393,6023,1289406.0,False,False
207,154275.67,Motor,Schneider,Z300,2226,8068,777446.0,False,False
208,77947.58,Transformador,GE,X100,2030,8645,1177282.0,False,False
209,67500.05,Transformador,GE,Y200,3225,1175,710097.0,False,False
210,81583.55,Transformador,Schneider,X100,2442,2999,854073.0,False,False
211,118010.645,Motor,Siemens,Y200,3385,9516,554037.0,False,False
212,101804.76,Generador,Siemens,M400,3301,6898,835192.0,False,False
213,95488.395,Transformador,Schneider,Y200,1595,6320,807971.0,False,False
214,85921.39,Compresor,ABB,Z300,2180,9829,929283.0,False,False
215,136605.19,Generador,Schneider,M400,4425,2493,754852.0,False,False
216,133169.76,Compresor,Schneider,M400,2005,3209,1010645.0,False,False
217,88883.72,Compresor,Schneider,X100,1406,5050,602991.0,False,False
218,75133.2,Compresor,GE,Z300,2066,3469,1186357.0,False,False
219,116157.55,Generador,ABB,M400,2264,1081,975809.0,False,False
220,108701.61,Generador,GE,Z300,3028,1008,1133821.0,False,False
221,107728.65,Generador,GE,X100,1244,9491,1390997.3276785715,False,False
222,91988.36,Generador,Schneider,M400,404,7108,561465.0,False,False
223,104332.43,Transformador,GE,Z300,896,7908,1081180.0,False,False
